"","zone","label_id"
"4722","MACKAY/CAPRICORN","22-048"
"4723","MACKAY/CAPRICORN","22-049"
"4724","MACKAY/CAPRICORN","22-050"
"4725","MACKAY/CAPRICORN","20-197"
"4726","MACKAY/CAPRICORN","21-093"
"4727","MACKAY/CAPRICORN","20-401"
"4729","MACKAY/CAPRICORN","21-122"
"4730","MACKAY/CAPRICORN","21-103"
"4731","MACKAY/CAPRICORN","21-104"
"4732","MACKAY/CAPRICORN","20-349"
"4733","MACKAY/CAPRICORN","20-350"
"4734","MACKAY/CAPRICORN","20-351a"
"4735","MACKAY/CAPRICORN","20-351b"
"4736","MACKAY/CAPRICORN","20-351c"
"4739","MACKAY/CAPRICORN","20-237e"
"4740","MACKAY/CAPRICORN","20-237f"
"4741","MACKAY/CAPRICORN","20-253a"
"4742","MACKAY/CAPRICORN","20-253b"
"4743","MACKAY/CAPRICORN","21-116"
"4744","MACKAY/CAPRICORN","20-437"
"4745","MACKAY/CAPRICORN","20-439"
"4746","MACKAY/CAPRICORN","20-433"
"4747","MACKAY/CAPRICORN","20-442"
"4748","MACKAY/CAPRICORN","20-443"
"4749","MACKAY/CAPRICORN","20-590"
"4751","MACKAY/CAPRICORN","20-407"
"4752","MACKAY/CAPRICORN","20-556"
"4753","MACKAY/CAPRICORN","21-124"
"4754","MACKAY/CAPRICORN","20-448"
"4755","MACKAY/CAPRICORN","20-444"
"4756","MACKAY/CAPRICORN","20-451"
"4757","MACKAY/CAPRICORN","20-453"
"4758","MACKAY/CAPRICORN","20-237a"
"4759","MACKAY/CAPRICORN","20-237c"
"4760","MACKAY/CAPRICORN","20-237d"
"4761","MACKAY/CAPRICORN","20-237g"
"4762","MACKAY/CAPRICORN","20-246"
"4763","MACKAY/CAPRICORN","20-311"
"4765","MACKAY/CAPRICORN","20-152"
"4766","MACKAY/CAPRICORN","20-333"
"4767","MACKAY/CAPRICORN","20-334"
"4768","MACKAY/CAPRICORN","20-151"
"4770","MACKAY/CAPRICORN","21-056a"
"4771","MACKAY/CAPRICORN","21-056c"
"4772","MACKAY/CAPRICORN","21-058"
"4773","MACKAY/CAPRICORN","21-075"
"4774","MACKAY/CAPRICORN","20-457"
"4775","MACKAY/CAPRICORN","20-458"
"4776","MACKAY/CAPRICORN","20-601"
"4777","MACKAY/CAPRICORN","20-603"
"4779","MACKAY/CAPRICORN","20-308"
"4780","MACKAY/CAPRICORN","20-327"
"4781","MACKAY/CAPRICORN","20-328e"
"4782","MACKAY/CAPRICORN","20-335"
"4783","MACKAY/CAPRICORN","20-154"
"4784","MACKAY/CAPRICORN","20-155"
"4785","MACKAY/CAPRICORN","20-157"
"4786","MACKAY/CAPRICORN","20-471"
"4787","MACKAY/CAPRICORN","20-285"
"4788","MACKAY/CAPRICORN","20-119"
"4789","MACKAY/CAPRICORN","20-388b"
"4790","MACKAY/CAPRICORN","20-389"
"4791","MACKAY/CAPRICORN","20-392"
"4792","MACKAY/CAPRICORN","21-056d"
"4794","MACKAY/CAPRICORN","20-147"
"4795","MACKAY/CAPRICORN","20-148"
"4796","MACKAY/CAPRICORN","20-149"
"4798","MACKAY/CAPRICORN","20-328b"
